Column1,T-Likes,T-Retweets,T-Tweets,T-Media,T-Follows,F-Likes,F-Talking,F-W-Here,G-Found,Total,People,Products,Likes
fuming,0,0,0,0,0,1955,42,28,52900,54925,2025,52942,1955
fondness,0,0,0,0,0,341,1,0,51200,51542,342,51201,341
tormented,17744,21421,0,0,0,30240,1347,980,50700,122432,32567,73468,47984
unhappiness,107,232,0,0,0,1075,4,34,50600,52052,1113,50836,1182
melancholic,0,0,0,0,0,4464,68,0,50100,54632,4532,50168,4464
apprehension,0,0,0,0,0,42696,728,1265,48200,92889,44689,48928,42696
displeasure,349,484,0,0,0,0,0,0,47800,48633,0,48284,349
zealous,0,0,0,0,0,13451,575,404,47700,62130,14430,48275,13451
preoccupied,2770,1647,0,0,0,435,17,0,47700,52569,452,49364,3205
disapproval,0,1,0,0,0,3725,9,0,47400,51135,3734,47410,3725
nervousness,4531,1955,0,0,0,0,0,0,46700,53186,0,48655,4531
sexiness,0,0,0,0,0,16731,131,0,46600,63462,16862,46731,16731
bewildered,0,0,0,0,0,14874,240,69,46400,61583,15183,46640,14874
fulfilment,0,0,0,0,0,1889,74,5810,46300,54073,7773,46374,1889
nonchalant,0,0,0,0,0,3899,64,307,45900,50170,4270,45964,3899
exasperated,0,0,0,0,0,0,0,0,45300,45300,0,45300,0
wickedness,48,24,0,0,0,281,1,0,45100,45454,282,45125,329
fatigued,2,3,0,0,0,3854,114,4,44700,48677,3972,44817,3856
enthralled,1150,835,0,0,0,749,1,0,44500,47235,750,45336,1899
objectivity,4,6,0,0,0,12710,97,3,43500,56320,12810,43603,12714
shyness,0,0,0,0,0,58910,120,0,42800,101830,59030,42920,58910
awed,890,330,0,0,0,390089,52159,706,42400,486574,442954,94889,390979
pessimism,0,392,0,0,0,3160,18,0,42400,45970,3178,42810,3160
wronged,0,3770,0,0,0,2797,76,0,41500,48143,2873,45346,2797
rationality,0,0,0,0,0,21349,48,21,40800,62218,21418,40848,21349
flirted,1328,1229,0,0,0,0,0,0,40800,43357,0,42029,1328
exhilaration,0,0,0,0,0,15080,278,2669,40300,58327,18027,40578,15080
jubilant,0,0,0,0,0,5353,54,2270,39700,47377,7677,39754,5353
cowardice,0,0,0,0,0,4214,7,0,39200,43421,4221,39207,4214
incensed,0,0,0,0,0,10058934,3223381,0,38900,13321215,13282315,3262281,10058934
vengeful,0,0,0,0,0,9924,698,0,37900,48522,10622,38598,9924
disconnection,0,0,0,0,0,390,0,0,37500,37890,390,37500,390
apathetic,522,376,0,0,0,6401,63,0,37200,44562,6464,37639,6923
eagerness,97,49,0,0,0,386,6,0,35600,36138,392,35655,483
paralysed,0,0,0,0,0,4686672,1434811,0,35200,6156683,6121483,1470011,4686672
engrossed,4,2,0,0,0,1034,1,0,35200,36241,1035,35203,1038
appraised,0,0,0,0,0,353,25,29,33900,34307,407,33925,353
elation,0,0,0,0,0,89931,323,630,33700,124584,90884,34023,89931
inferiority,0,0,0,0,0,792,1,0,32900,33693,793,32901,792
politeness,0,0,0,0,0,409,1,0,32800,33210,410,32801,409
infuriated,5,107,0,0,0,123,15,0,32200,32450,138,32322,128
dejected,660,310,0,0,0,237,19,0,32100,33326,256,32429,897
disinterested,0,0,0,0,0,95,1,0,31300,31396,96,31301,95
helplessness,0,0,0,0,0,0,0,0,30800,30800,0,30800,0
thankfulness,0,0,0,0,0,2888,10,0,30700,33598,2898,30710,2888
aggravation,0,0,0,0,0,1157,3,0,30700,31860,1160,30703,1157
resentful,60,18,0,0,0,3611,89,0,30300,34078,3700,30407,3671
preoccupation,460,438,0,0,0,78797,29611,0,30000,139306,108408,60049,79257
sorrowful,0,0,0,0,0,380550,2321,1488,29600,413959,384359,31921,380550
grouchy,0,0,39000,1318,65400,10211,585,17402,29500,163416,93598,70403,10211
subjectivity,149,548,0,0,0,9386,29,58,26600,36770,9473,27177,9535
woeful,0,0,0,0,0,2497,188,0,25700,28385,2685,25888,2497
distrustful,0,0,0,0,0,0,0,0,24900,24900,0,24900,0
gleeful,0,0,0,0,0,58434,473,0,24800,83707,58907,25273,58434
festivity,5,1,0,0,0,9386,46,152,24600,34190,9584,24647,9391
gladness,0,0,0,0,0,4422,69,0,23900,28391,4491,23969,4422
jubilation,0,0,0,0,0,33867,775,2736,23700,61078,37378,24475,33867
discouragement,75,77,0,0,0,0,0,0,23500,23652,0,23577,75
repugnant,0,27,0,0,0,32125,2769,0,23100,58021,34894,25896,32125
ferocity,0,0,0,0,0,15788,315,4556,22600,43259,20659,22915,15788
grieved,0,0,0,0,0,17529,34,0,21300,38863,17563,21334,17529
rapturous,0,0,0,0,0,314247,203811,0,21200,539258,518058,225011,314247
insensitivity,268,408,0,0,0,135,0,0,21000,21811,135,21408,403
detestable,14,8,0,0,0,907,579,0,20200,21708,1486,20787,921
unbelief,335,394,0,0,0,4679,7,0,20100,25515,4686,20501,5014
quietness,2580,2131,0,0,0,275,0,0,19400,24386,275,21531,2855
scepticism,37,52,0,0,0,186582,5253,0,19300,211224,191835,24605,186619
astonishment,0,0,0,0,0,205,3,0,19300,19508,208,19303,205
misgiving,0,0,0,0,0,1064,29,0,18600,19693,1093,18629,1064
sulky,0,0,0,0,0,44428,11005,20124,18100,93657,75557,29105,44428
avarice,0,0,0,0,0,19540,177,0,17600,37317,19717,17777,19540
giggly,0,0,0,0,0,206463,18889,1457,17300,244109,226809,36189,206463
dullness,228,44,0,0,0,0,0,0,16400,16672,0,16444,228
constructivism,0,0,0,0,0,4132,43,0,16100,20275,4175,16143,4132
disapproving,0,0,0,0,0,3214,173,0,15900,19287,3387,16073,3214
remorseful,0,0,0,0,0,0,0,0,15800,15800,0,15800,0
irrationality,0,0,0,0,0,3671,14,0,15400,19085,3685,15414,3671
mournful,0,0,0,0,0,12553,87,0,15200,27840,12640,15287,12553
gaiety,0,0,0,0,0,53401,8010,70067,14900,146378,131478,22910,53401
revulsion,0,0,795,263,2512,262040,168,0,13000,278778,264720,14226,262040
sentimentality,1,2,0,0,0,1925,12,33,12800,14773,1970,12814,1926
uneasiness,54,3,0,0,0,314,3,0,12800,13174,317,12806,368
anguished,305,39,0,0,0,5593,89,0,12400,18426,5682,12528,5898
ditzy,0,0,0,0,0,27558,449,20,12200,40227,28027,12649,27558
powerlessness,4,6,0,0,0,6445,297,0,12100,18852,6742,12403,6449
disillusion,0,0,0,0,0,39324,2813,0,11900,54037,42137,14713,39324
cheerfulness,27,3,0,0,0,50,0,0,11600,11680,50,11603,77
exasperation,0,45,0,0,0,0,0,0,11300,11345,0,11345,0
insignificance,1360,1483,0,0,0,917,3,0,10400,14163,920,11886,2277
liveliness,0,0,0,0,0,11761,432,24,8970,21187,12217,9402,11761
unpleasantness,1,1,0,0,0,1019,57,0,8740,9818,1076,8798,1020
quaking,0,0,0,0,0,4833,36,1302,8670,14841,6171,8706,4833
unbelieving,0,0,0,0,0,108694,5111,0,8060,121865,113805,13171,108694
uselessness,0,0,0,0,0,1513,3,0,7890,9406,1516,7893,1513
pitied,2,13,0,0,0,199,0,0,7880,8094,199,7893,201
naughtiness,2,2,0,0,0,1529,0,0,7760,9293,1529,7762,1531
dejection,140,43,0,0,0,152,6,0,7700,8041,158,7749,292
aliveness,0,0,0,0,0,5676,117,778,7130,13701,6571,7247,5676
mortification,12,1,0,0,0,60374,132,0,7050,67569,60506,7183,60386
habituation,0,1,0,0,0,0,0,0,6220,6221,0,6221,0
agonized,394,0,0,0,0,5,0,0,6050,6449,5,6050,399
positiveness,0,0,0,0,0,3371,61,1207,4210,8849,4639,4271,3371
menaced,0,1,0,0,0,0,0,0,3960,3961,0,3961,0
unawareness,5770,6202,0,0,0,0,0,0,3630,15602,0,9832,5770
crankiness,1,0,0,0,0,0,0,0,3020,3021,0,3020,1
joviality,0,0,0,0,0,27980,1663,5576,1210,36429,35219,2873,27980
complacence,0,0,0,0,0,6808960,198362,0,1010,7008332,7007322,199372,6808960
vengefulness,0,0,0,0,0,24579,843,12,762,26196,25434,1605,24579
friskiness,0,0,0,0,0,376,0,0,449,825,376,449,376
jolliness,0,0,0,0,0,0,0,0,427,427,0,427,0
lousiness,0,0,0,0,0,5723,2,0,295,6020,5725,297,5723
enthralment,11,11157,2377,117,20000,8361,24,158,57,42262,28543,13732,8372
