Column1,T-Likes,T-Retweets,T-Tweets,T-Media,T-Follows,F-Likes,F-Talking,F-W-Here,G-Found,Total,People,Products,Likes
insignificant,0,0,0,0,0,2033,47,0,119000,121080,2080,119047,2033
highness,0,0,0,0,0,110425,12178,462,118000,241065,123065,130178,110425
gloom,0,0,0,0,0,75543,964,0,118000,194507,76507,118964,75543
rebellious,0,0,0,0,0,17649,130,2216,117000,136995,19995,117130,17649
aversion,0,0,0,0,0,11571,55,71,116000,127697,11697,116055,11571
liberated,0,0,0,0,0,28635,494,2018,115000,146147,31147,115494,28635
envious,0,0,0,0,0,10020,242,842,115000,126104,11104,115242,10020
homesickness,0,0,0,0,0,7152,179,2064,115000,124395,9395,115179,7152
cowardly,71262,34279,0,0,0,44301,77,4,114000,263923,44382,148356,115563
homesick,0,0,0,0,0,11245,204,2069,114000,127518,13518,114204,11245
torment,0,0,0,0,0,109907,511,28996,113000,252414,139414,113511,109907
impulsive,0,0,0,0,0,14605,416,77,113000,128098,15098,113416,14605
loathing,0,0,0,0,0,1989326,4543,5920,112000,2111789,1999789,116543,1989326
wondrous,0,0,0,0,0,112269,4300,145,110000,226714,116714,114300,112269
familiarity,251,149,0,0,0,0,0,0,110000,110400,0,110149,251
perplexed,0,0,0,0,0,5872,62,5273,109000,120207,11207,109062,5872
timid,0,0,0,0,0,44093,2672,67,105000,151832,46832,107672,44093
laziness,2291,1886,0,0,0,4632,1,0,105000,113810,4633,106887,6923
friendliness,77,41,0,0,0,6104,445,0,104000,110667,6549,104486,6181
frisky,0,0,0,0,0,17291,839,17655,103000,138785,35785,103839,17291
dissatisfied,0,0,0,0,0,0,0,0,103000,103000,0,103000,0
adoration,0,0,0,0,0,14507,807,828,97500,113642,16142,98307,14507
tenderness,0,0,2175,1150,153000,301416,57040,0,97100,611881,511456,157465,301416
scorn,0,0,0,0,0,10656,776,0,95400,106832,11432,96176,10656
anguish,0,0,0,0,0,6976,72,0,95400,102448,7048,95472,6976
provoked,1,1,0,0,0,92329,453,798,91900,185482,93580,92354,92330
alarmed,0,0,0,0,0,881,10,0,91200,92091,891,91210,881
emptiness,0,0,0,0,0,93459,20197,1639,91000,206295,115295,111197,93459
mischievous,0,0,0,0,0,3258,214,0,90700,94172,3472,90914,3258
annoyance,0,0,1065,27,6514,11709,302,20859,88900,129376,39384,90294,11709
provocation,0,0,0,0,0,8231,249,459,87300,96239,8939,87549,8231
overjoyed,1,0,0,0,0,20295,239,1174,86500,108209,21708,86739,20296
indifference,0,0,0,0,0,1843,61,0,86400,88304,1904,86461,1843
indecisive,7,15,0,0,0,8583,88,0,86000,94693,8671,86103,8590
tenacious,0,1631,0,0,0,2909246,8907,2334,85600,3007718,2920487,96138,2909246
lifeless,0,0,0,0,0,36552,3312,0,85400,125264,39864,88712,36552
boldness,0,0,0,0,0,8580,23,95,84000,92698,8698,84023,8580
receptive,0,0,0,0,0,1373,28,19,80700,82120,1420,80728,1373
discontent,0,0,7652,1185,24100,23662,430,397,79300,136726,48589,88567,23662
dismay,0,0,0,0,0,2809,21,0,78700,81530,2830,78721,2809
weirdness,0,0,0,0,0,129275,463,0,77200,206938,129738,77663,129275
affliction,0,0,0,0,0,343333,1778,2519,76600,424230,347630,78378,343333
inquisitive,0,0,0,0,0,35959,412,486,75600,112457,36857,76012,35959
submissive,0,0,4864,819,4174,27145,200,0,75100,112302,31519,80983,27145
elated,0,0,0,0,0,7469,148,48,74100,81765,7665,74248,7469
astonished,0,0,0,0,0,24599,204,15,72700,97518,24818,72904,24599
dedicating,1958,1114,0,0,0,0,0,0,72700,75772,0,73814,1958
reassurance,0,0,0,0,0,1016,8,0,70400,71424,1024,70408,1016
infatuation,0,0,34500,9978,57400,160298,3002,46,70000,335224,220746,117480,160298
reassured,1963,904,0,0,0,4644572,4183,50,68300,4719972,4648805,73387,4646535
agitated,0,0,0,0,0,2688,2,0,68200,70890,2690,68202,2688
pained,0,0,0,0,0,10344,16,0,68100,78460,10360,68116,10344
comforted,558,331,0,0,0,110,0,0,68100,69099,110,68431,668
lethargic,0,0,0,0,0,2363,64,0,67900,70327,2427,67964,2363
disrespected,9941,12701,0,0,0,3921238,1609686,0,67400,5620966,5530924,1689787,3931179
inflamed,0,0,0,0,0,46729,779,5,66600,114113,47513,67379,46729
mortified,0,0,0,0,0,13326,42,377,64900,78645,13745,64942,13326
numbness,11,8,0,0,0,3199,112,0,64400,67730,3311,64520,3210
judgemental,377,909,0,0,0,7838,1883,0,64000,75007,9721,66792,8215
impulsion,0,0,0,0,0,17782,2194,296,63100,83372,20272,65294,17782
tearful,0,0,0,0,0,1447,65,0,62500,64012,1512,62565,1447
nosy,0,0,5910,528,8521,16824,627,1528,62400,96338,27500,69465,16824
ridiculed,29268,13724,0,0,0,0,0,0,61900,104892,0,75624,29268
disillusioned,0,0,0,0,0,2810,9,521,61900,65240,3340,61909,2810
amazement,0,0,0,0,0,22197,454,16350,61800,100801,39001,62254,22197
empathetic,100,18,0,0,0,703,18,0,59500,60339,721,59536,803
victimized,23942,14957,0,0,0,5166,63,0,58700,102828,5229,73720,29108
abominable,0,0,0,0,0,29451,145,15,58300,87911,29611,58445,29451
dismayed,1452,1150,0,0,0,0,0,0,56600,59202,0,57750,1452
calmness,23,11,0,0,0,2528,8,16,56100,58686,2552,56119,2551
startled,0,0,0,0,0,1433892,482473,0,56000,1972365,1916365,538473,1433892
desolate,0,0,0,0,0,26217,414,0,55500,82131,26631,55914,26217
rejuvenated,0,0,37100,276,6281,7118,38,168,53600,104581,13605,91014,7118
sceptical,0,0,0,0,0,150946,2392,324,53400,207062,153662,55792,150946
alienated,0,0,15000,649,3436,14589,263,0,52900,86837,18288,68812,14589
